"module_code","group_code","semester_code","weeks","day","start","end","location_code","area"
"YSS3276","E1","AY2021-1","1-6, 8-14",1,"9:00","11:00",NA,NA
"YSS3276","E1","AY2021-1","1-6, 8-14",4,"9:00","11:00",NA,NA
"YSS4106","E1","AY2021-1","1-6, 8-14",3,"12:30","15:30","UT-AUD03","UTown"
"YSS2201","E1","AY2021-1","1-6, 8-14",2,"10:30","12:30",NA,NA
"YSS2201","E1","AY2021-1","1-6, 8-14",5,"10:30","12:30",NA,NA
"YSS2201","E2","AY2021-1","1-6, 8-14",2,"16:00","18:00",NA,NA
"YSS2201","E2","AY2021-1","1-6, 8-14",5,"16:00","18:00",NA,NA
"YSS2216","E1","AY2021-1","1-6, 8-14",1,"9:00","10:30","Y-CR17","YNC"
"YSS2216","E1","AY2021-1","1-6, 8-14",4,"9:00","10:30","Y-CR17","YNC"
"YSS3214","E1","AY2021-1","1-6, 8-14",5,"14:30","17:30",NA,NA
"YSS3279","E1","AY2021-1","1-6, 8-14",4,"13:00","16:00","UTSRC-LT51","UTown"
"YSS4102","E1","AY2021-1","1-6, 8-14",3,"12:30","14:30","Y-BlackBox","YNC"
"YSS4102","E1","AY2021-1","1-6, 8-14",5,"12:30","14:30","Y-BlackBox","YNC"
"YSS4202","E1","AY2021-1","1-6, 8-14",2,"13:00","16:00","UT-AUD03","UTown"
"YSS4206C","E1","AY2021-1","1-6, 8-14",1,"13:00","16:00","Y-LT1","YNC"
"YSS4240","E1","AY2021-1","1-6, 8-14",3,"9:30","12:30",NA,NA
"YSS3231","E1","AY2021-1","1-6, 8-14",2,"16:00","17:30","Y-RC2SC","YNC"
"YSS3231","E1","AY2021-1","1-6, 8-14",5,"16:00","17:30","Y-RC2SC","YNC"
"YSS3231","E2","AY2021-1","1-6, 8-14",1,"14:30","16:00","UT-AUD03","UTown"
"YSS3231","E2","AY2021-1","1-6, 8-14",4,"14:30","16:00","UT-AUD03","UTown"
"YSS2220","E1","AY2021-1","1-6, 8-14",2,"14:30","16:00","UTERC-ALR","UTown"
"YSS2220","E1","AY2021-1","1-6, 8-14",5,"14:30","16:00","UTERC-ALR","UTown"
"YSS2220","E2","AY2021-1","1-6, 8-14",2,"14:30","16:00","UTERC-ALR","UTown"
"YSS2220","E2","AY2021-1","1-6, 8-14",5,"14:30","16:00","UTERC-ALR","UTown"
"YSS3218","E1","AY2021-1","1-6, 8-14",2,"9:00","10:30","Y-KChanrai","YNC"
"YSS3218","E1","AY2021-1","1-6, 8-14",5,"9:00","10:30","Y-KChanrai","YNC"
"YSS3246","E1","AY2021-1","1-6, 8-14",2,"13:00","14:30","UTERC-ALR","UTown"
"YSS3246","E1","AY2021-1","1-6, 8-14",5,"13:00","14:30","UTERC-ALR","UTown"
"YSS3282","E1","AY2021-1","1-6, 8-14",2,"10:30","12:00","UTERC-ALR","UTown"
"YSS3282","E1","AY2021-1","1-6, 8-14",5,"10:30","12:00","UTERC-ALR","UTown"
"YSS3297","E1","AY2021-1","1-6, 8-14",4,"13:00","16:00","UTSRC-LT53","UTown"
"YSS4105","E1","AY2021-1","1-6, 8-14",3,"12:30","15:30","Y-CR17","YNC"
"YSS4220","E1","AY2021-1","1-6, 8-14",4,"18:00","21:00","Y-BlackBox","YNC"
