"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YSS2211","E1A","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E2A","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E2A","AY2021-2","1-6, 8-14",5,"12:00","13:00","Y-CompLab","F2F"
"YSS2211","E2A","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E1B","AY2021-2","1-6, 8-14",2,"12:00","13:00","Y-CompLab","F2F"
"YSS2211","E1B","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E1B","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E2B","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-PerfHall","F2F"
"YSS2211","E2B","AY2021-2","1-6, 8-14",5,"12:00","13:00","Y-CompLab","F2F"
"YSS2211","E2B","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-PerfHall","F2F"
"YSS2214","E1","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-TCTLT","F2F"
"YSS2214","E1","AY2021-2","1-6, 8-14",3,"18:00","19:00","Y-TCTLT","F2F"
"YSS2214","E1","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-TCTLT","F2F"
"YSS3203","E1","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-Blackbox","F2F"
"YSS3203","E1","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-Blackbox","F2F"
"YSS3204","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","ERC-ALR","F2F"
"YSS3204","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","ERC-ALR","F2F"
"YSS3205","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","SRC-LT51","F2F"
"YSS3205","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","SRC-LT51","F2F"
"YSS3208","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30","Y-TCTLT","F2F"
"YSS3208","E1","AY2021-2","1-6, 8-14",3,"9:00","10:00","Y-TCTLT","F2F"
"YSS3208","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30","Y-TCTLT","F2F"
"YSS3220","E1","AY2021-2","1-6, 8-14",1,"19:30","21:00",NA,"REMOTE"
"YSS3220","E1","AY2021-2","1-6, 8-14",4,"19:30","21:00",NA,"REMOTE"
"YSS3248","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-CR3","F2F"
"YSS3248","E1","AY2021-2","1-6, 8-14",3,"14:30","15:30","Y-CR3","F2F"
"YSS3248","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-CR3","F2F"
"YSS3264","E1","AY2021-2","1-6, 8-14",2,"13:00","14:30","CAPT-AUD03","F2F"
"YSS3264","E1","AY2021-2","1-6, 8-14",5,"13:00","14:30","CAPT-AUD03","F2F"
"YSS3299","E1","AY2021-2","1-6, 8-14",1,"9:00","10:30","Y-KChanrai","F2F"
"YSS3299","E1","AY2021-2","1-6, 8-14",4,"9:00","10:30","Y-KChanrai","F2F"
"YSS3306","E1","AY2021-2","1-6, 8-14",1,"10:30","12:30","Y-CR15","F2F"
"YSS3306","E1","AY2021-2","1-6, 8-14",4,"10:30","11:30","Y-CR15","F2F"
"YSS3307","E1","AY2021-2","1-6, 8-14",2,"9:00","11:00","ERC-SR9","F2F"
"YSS3307","E1","AY2021-2","1-6, 8-14",5,"9:00","10:00","TP-GLR","F2F"
"YSS3315","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","Y-CR15","F2F"
"YSS3315","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","Y-CR15","F2F"
"YSS4104","E1","AY2021-2","1-6, 8-14",3,"13:00","14:30","Y-CR17","F2F"
"YHU2320","E1","AY2021-2","1-6, 8-14",1,"10:30","12:00","SRC-GLR","F2F"
"YHU2320","E1","AY2021-2","1-6, 8-14",4,"10:30","12:00","SRC-GLR","F2F"
"YHU3343","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","Y-PgRm1","F2F"
"YHU3343","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","Y-PgRm1","F2F"
"YID1201","E1","AY2021-2","1-6, 8-14",1,"16:00","17:30","ERC-ALR","F2F"
"YID1201","E1","AY2021-2","1-6, 8-14",4,"16:00","17:30","ERC-ALR","F2F"
"YID2212","E1","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-PgRm1","F2F"
"YID2212","E1","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-PgRm1","F2F"
"YID2213","E1","AY2021-2","1-6, 8-14",3,"10:30","12:00","Y-CR18","F2F"
